Date;Bouygues
2018-10-09;86.81744186708333
2018-10-10;81.99425065224537
2018-10-11;84.40584625966436
2018-10-12;77.17105943740741
2018-10-15;89.22903747450232
2018-10-16;86.81744186708333
2018-10-17;83.20004845595486
2018-10-18;79.5826550448264
2018-10-19;88.02323967079282
2018-10-22;88.02323967079282
2018-10-23;85.61164406337384
2018-10-24;85.61164406337384
2018-10-25;80.78845284853588
2018-10-26;78.3768572411169
2018-10-29;80.78845284853588
2018-10-30;81.99425065224537
2018-10-31;74.75946382998842
2018-11-01;66.318879204022
2018-11-02;81.99425065224537
2018-11-05;89.22903747450232
2018-11-06;94.05222868934028
2018-11-07;97.66962210046876
2018-11-08;85.61164406337384
2018-11-09;85.61164406337384
2018-11-12;92.84643088563078
2018-11-13;85.61164406337384
2018-11-14;83.20004845595486
2018-11-15;81.99425065224537
2018-11-16;79.5826550448264
2018-11-19;84.40584625966436
2018-11-20;91.6406330819213
2018-11-21;89.22903747450232
2018-11-22;90.26658442188025
2018-11-23;98.56696000090372
2018-11-26;93.37922526401405
2018-11-27;89.22903747450232
2018-11-28;95.45431915876992
2018-11-29;96.49186610614785
2018-11-30;91.30413136925819
2018-12-03;95.45431915876992
2018-12-04;100.6420538956596
2018-12-05;103.7546947377934
2018-12-06;103.7546947377934
2018-12-07;95.45431915876992
2018-12-10;99.60450694828165
2018-12-11;92.34167831663612
2018-12-12;99.60450694828165
2018-12-13;88.19149052712439
2018-12-14;86.11639663236852
2018-12-17;95.45431915876992
2018-12-18;90.26658442188025
2018-12-19;97.52941305352579
2018-12-20;98.56696000090372
2018-12-21;94.41677221139199
2018-12-24;88.19149052712439
2018-12-27;97.52941305352579
2018-12-28;93.37922526401405
2018-12-31;69.51564547432157
2019-01-02;97.52941305352579
2019-01-03;93.37922526401405
2019-01-04;88.19149052712439
2019-01-07;90.26658442188025
2019-01-08;85.07884968499059
2019-01-09;85.07884968499059
2019-01-10;83.00375579023472
2019-01-11;77.81602105334505
2019-01-14;85.07884968499059
2019-01-15;74.70338021121124
2019-01-16;78.85356800072299
2019-01-17;73.6658332638333
2019-01-18;73.6658332638333
2019-01-21;83.00375579023472
2019-01-22;75.74092715858917
2019-01-23;76.7784741059671
2019-01-24;73.6658332638333
2019-01-25;72.62828631645537
2019-01-28;77.81602105334505
2019-01-29;83.00375579023472
2019-01-30;76.7784741059671
2019-01-31;72.62828631645537
2019-02-01;77.81602105334505
2019-02-04;79.89111494810092
2019-02-05;83.00375579023472
2019-02-06;85.07884968499059
2019-02-07;83.00375579023472
2019-02-08;72.62828631645537
2019-02-11;78.85356800072299
2019-02-12;77.81602105334505
2019-02-13;73.6658332638333
2019-02-14;72.62828631645537
2019-02-15;70.5531924216995
2019-02-18;77.81602105334505
2019-02-19;71.59073936907744
2019-02-20;73.18164468839026
2019-02-21;71.59073936907744
2019-02-22;69.2043813901082
2019-02-25;73.18164468839026
2019-02-26;66.81802341113894
2019-02-27;69.9998340497646
2019-02-28;68.40892873045178
2019-03-01;66.81802341113894
